"","V1","V2","V3","V4","V5"
"4975",24070.49,0.44,0.43,574.95,1966.28
"4976",24623.48,0.42,0.42,597.51,1975.77
"4977",23491.81,0.45,0.44,553.25,1957.96
"4978",24438.46,0.43,0.42,593.29,1975.95
"4979",24390.92,0.43,0.42,591.18,1974.97
"4980",25095.3,0.41,0.41,620.46,1987.37
"4981",26160.48,0.39,0.38,669.77,2010.41
"4982",27499.6,0.36,0.35,727.24,2033.67
"4983",27214.73,0.36,0.36,714.58,2028.4
"4984",28249.6,0.34,0.33,758.54,2045.28
"4985",24174.75,0.43,0.43,581.58,1970.46
"4986",25221.49,0.41,0.4,626.07,1989.91
"4987",25068.09,0.41,0.41,619.25,1986.82
"4988",25860.34,0.39,0.39,652.44,2000.57
"4989",26694.78,0.38,0.37,691.49,2018.64
"4990",28128.2,0.34,0.34,753.15,2043.1
"4991",27739.32,0.35,0.35,735.88,2036.06
"4992",28858.69,0.32,0.32,783.59,2054.08
"4993",15289.92,0.64,0.64,193.01,1744.66
"4994",15502.02,0.64,0.63,200.43,1749.63
"4995",15306.19,0.64,0.64,191.74,1743.19
"4996",15536.57,0.64,0.63,199.97,1748.75
"4997",15290.1,0.64,0.64,191.02,1742.66
"4998",15502.11,0.64,0.63,198.44,1747.63
"4999",15306.86,0.64,0.64,189.77,1741.22
"5000",15536.63,0.64,0.63,197.97,1746.76
"5001",15718.05,0.63,0.63,210.03,1756.63
"5002",15964.95,0.63,0.62,218.99,1762.52
"5003",15738.72,0.63,0.63,208.94,1755.3
"5004",16008.04,0.63,0.62,218.9,1761.88
"5005",15720.86,0.63,0.63,208.15,1754.72
"5006",15965.86,0.63,0.62,217.03,1760.55
"5007",15743.29,0.63,0.63,207.15,1753.44
"5008",16010.54,0.63,0.62,217.02,1759.96
"5009",15458.31,0.64,0.63,198.49,1748.2
"5010",15738.07,0.63,0.63,208.92,1755.27
"5011",15464.76,0.64,0.63,196.78,1746.41
"5012",15757.16,0.63,0.63,207.76,1753.89
"5013",15509.16,0.64,0.63,198.75,1747.86
"5014",15832.34,0.63,0.62,211.1,1756.3
"5015",15510.74,0.64,0.63,196.82,1745.91
"5016",15839.96,0.63,0.63,209.44,1754.54
"5017",15867.84,0.63,0.62,214.68,1759.43
"5018",16182.93,0.62,0.62,226.67,1767.38
"5019",15877.64,0.63,0.62,213.11,1757.74
"5020",16208.99,0.62,0.62,225.83,1766.19
"5021",15895.98,0.63,0.62,213.93,1758.33
"5022",16246.03,0.62,0.62,227.47,1767.35
"5023",15900.73,0.63,0.62,212.14,1756.48
"5024",16260.35,0.62,0.62,226.11,1765.79
"5025",24491.85,0.43,0.42,599.66,1981.06
"5026",24835.55,0.42,0.41,612.93,1986.11
"5027",24514.62,0.43,0.42,598.67,1979.53
"5028",24842.1,0.42,0.41,611.22,1984.24
"5029",24727.69,0.42,0.41,608.14,1983.91
"5030",25105.61,0.41,0.41,622.92,1989.58
"5031",24770.92,0.42,0.41,608.06,1982.79
"5032",25124.72,0.41,0.41,621.77,1987.97
"5033",25386.64,0.41,0.4,637.4,1997.21
"5034",25799.89,0.4,0.39,653.75,2003.38
"5035",25405.03,0.41,0.4,636.22,1995.58
"5036",25803.24,0.4,0.39,651.9,2001.45
"5037",25582.58,0.4,0.39,644.1,1999.1
"5038",26028.5,0.39,0.38,661.9,2005.85
"5039",25617.92,0.4,0.39,643.67,1997.8
"5040",26040.83,0.39,0.39,660.45,2004.09
"5041",24851.54,0.42,0.41,613.64,1986.43
"5042",25323.94,0.41,0.4,632.62,1993.96
"5043",24902.76,0.42,0.41,613.91,1985.48
"5044",25348.31,0.41,0.4,631.7,1992.45
"5045",25734.46,0.4,0.39,650.85,2002.1
"5046",26461.56,0.38,0.37,681.14,2014.2
"5047",25923.94,0.39,0.39,657.26,2003.81
"5048",26602.54,0.38,0.37,685.4,2014.89
"5049",25713.01,0.4,0.39,649.89,2001.68
"5050",26259.33,0.39,0.38,672.16,2010.32
"5051",25756.16,0.4,0.39,649.81,2000.53
"5052",26276.51,0.38,0.38,670.92,2008.65
"5053",26477.79,0.38,0.37,681.86,2014.51
"5054",27271.64,0.36,0.36,715.11,2027.46
"5055",26641.14,0.38,0.37,687.11,2015.62
"5056",27387.28,0.36,0.36,718.25,2027.6
"5057",15359.9,0.64,0.63,194.12,1744.97
"5058",15590.53,0.64,0.63,202.36,1750.51
"5059",15363.01,0.64,0.64,192.26,1743.07
"5060",15602.32,0.63,0.63,200.89,1748.89
"5061",15360.15,0.64,0.64,192.13,1742.98
"5062",15592.43,0.63,0.63,200.45,1748.57
"5063",15363.08,0.64,0.64,190.26,1741.07
"5064",15603.2,0.63,0.63,198.93,1746.92
"5065",15776.19,0.63,0.63,210.61,1756.5
"5066",16040.94,0.62,0.62,220.37,1762.92
"5067",15782.47,0.63,0.63,208.89,1754.7
"5068",16059.71,0.62,0.62,219.2,1761.51
"5069",15776.86,0.63,0.63,208.64,1754.52
